region,reef_name,flat_ha,slope_ha,Area_HA,n_flat,n_slope,flat_scr,slope_scr,UNIQUE_ID
Mackay-Capricorn,U/N Reef (20-388a),0.46,0.0,362.77944946,46,0,0.0043,0.0,20388101104
Mackay-Capricorn,U/N Reef (20-388b),0.0,0.01,101.18619537,0,1,0.0,0.0003,20388102104
Mackay-Capricorn,U/N Reef (20-388c),6.54,0.01,404.16323853,654,1,0.0532,0.0,20388103104
Mackay-Capricorn,Neville Coleman Reef (20-389),65.55,16.34,9626.34375,6555,1634,0.0223,0.0045,20389100104
Mackay-Capricorn,U/N Reef (20-390),4.26,0.68,220.73794556,426,68,0.0634,0.0082,20390100104
Mackay-Capricorn,U/N Reef (20-507),0.0,0.0,357.04205322,0,0,0.0,0.0,20507100104
Mackay-Capricorn,U/N Reef (20-508),0.0,0.0,6.8619256,0,0,0.0,0.0,20508100104
Mackay-Capricorn,U/N Reef (20-509),0.0,0.0,130.29019165,0,0,0.0,0.0,20509100104
Mackay-Capricorn,U/N Reef (20-510),0.0,0.44,7.93891191,0,44,0.0,0.1472,20510100104
Mackay-Capricorn,U/N Reef (20198),0.17,4.77,371.71621704,17,477,0.0016,0.034,20198100104
Mackay-Capricorn,U/N Reef (20-512),0.0,0.0,6.51016092,0,0,0.0,0.0,20512100104
Mackay-Capricorn,U/N Reef (20-513),0.0,0.11,34.47920227,0,11,0.0,0.0085,20513100104
Townsville-Whitsunday,U/N Rock (20-833),0.0,0.0,0.0,0,0,0.0,0.0,20833100106
Townsville-Whitsunday,Platypus Rock (20-834),0.0,0.0,0.0,0,0,0.0,0.0,20834100108
Townsville-Whitsunday,U/N Rock (20-837),0.0,0.0,0.0,0,0,0.0,0.0,20837100106
Mackay-Capricorn,U/N Rock (20-841),0.0,0.0,0.0,0,0,0.0,0.0,20841100106
Mackay-Capricorn,U/N Rock (20-843),0.0,0.0,0.0,0,0,0.0,0.0,20843100106
Mackay-Capricorn,U/N Rock (20-844),0.0,0.0,0.0,0,0,0.0,0.0,20844100108
Mackay-Capricorn,U/N Rock (20-846),0.0,0.0,0.0,0,0,0.0,0.0,20846100108
Mackay-Capricorn,U/N Rock (20-847),0.0,0.0,0.0,0,0,0.0,0.0,20847100106
Townsville-Whitsunday,U/N Reef (20-854),0.0,0.0,6.2527976,0,0,0.0,0.0,20854100104
Mackay-Capricorn,U/N Rock (21-001),0.0,0.0,0.0,0,0,0.0,0.0,21001100106
Mackay-Capricorn,Oom Shoal (21-002),0.0,0.0,54.22872162,0,0,0.0,0.0,21002100104
Mackay-Capricorn,Slade Rock (21-003),0.0,0.0,0.0,0,0,0.0,0.0,21003100106
Mackay-Capricorn,Slade (Oyster) Island Reef (21-004),0.0,0.0,7.44674158,0,0,0.0,0.0,21004100104
Mackay-Capricorn,Downward Patches (No 1) (21-005a),0.0,0.0,61.21135712,0,0,0.0,0.0,21005101104
Mackay-Capricorn,McIntyre Reef (20-304),1.82,0.0,546.57965088,182,0,0.0108,0.0,20304100104
Mackay-Capricorn,Goble Reefs (East) (20-305),71.08,6.58,1989.49401855,7108,658,0.1173,0.0088,20305100104
Mackay-Capricorn,Goble Reefs (West) (20-306),0.38,0.5,307.28231812,38,50,0.0039,0.0043,20306100104
Mackay-Capricorn,Chauvel Reefs (North) (20-307),85.13,2.32,4615.34472656,8513,232,0.0604,0.0013,20307100104
Mackay-Capricorn,U/N Reef (20-391),57.78,2.38,3893.36767578,5778,238,0.0486,0.0016,20391100104
Mackay-Capricorn,U/N Reef (20-392),0.0,0.0,975.27783203,0,0,0.0,0.0,20392100104
Mackay-Capricorn,U/N Cay (20-393),0.0,0.0,0.0,0,0,0.0,0.0,20393100103
Mackay-Capricorn,U/N Reef (20-393),0.0,0.0,129.32315063,0,0,0.0,0.0,20393100104
Mackay-Capricorn,U/N Reef (20-394),0.0,2.62,392.60244751,0,262,0.0,0.0178,20394100104
Mackay-Capricorn,U/N Reef (20-395),0.0,0.0,427.01797485,0,0,0.0,0.0,20395100104
Mackay-Capricorn,Newell Reef (20-396),0.19,0.87,732.93011475,19,87,0.001,0.0032,20396100104
Mackay-Capricorn,U/N Reef (20-514),0.0,0.0,6.10881376,0,0,0.0,0.0,20514100104
Mackay-Capricorn,U/N Reef (20-515),0.0,0.0,46.33927917,0,0,0.0,0.0,20515100104
Mackay-Capricorn,U/N Reef (20-516),0.0,1.29,121.64746857,0,129,0.0,0.0282,20516100104
Mackay-Capricorn,U/N Reef (20-517),0.0,0.0,12.1958456,0,0,0.0,0.0,20517100104
Mackay-Capricorn,U/N Reef (20-518),0.0,0.12,1.31440115,0,12,0.0,0.2426,20518100104
Mackay-Capricorn,U/N Reef (20-519),0.0,10.15,32.36842728,0,1015,0.0,0.8334,20519100104
Mackay-Capricorn,U/N Reef (20-520),0.0,0.0,15.54769516,0,0,0.0,0.0,20520100104
Mackay-Capricorn,U/N Reef (20-521),0.0,0.0,17.34904861,0,0,0.0,0.0,20521100104
Mackay-Capricorn,U/N Reef (20-522),0.0,0.0,22.87412643,0,0,0.0,0.0,20522100104
Mackay-Capricorn,Downward Patches (No 2) (21-005b),0.0,0.0,8.14258957,0,0,0.0,0.0,21005102104
Mackay-Capricorn,Downward Patches (No 3) (21-005c),0.0,0.0,75.42066956,0,0,0.0,0.0,21005103104
Mackay-Capricorn,Downward Patches (No 4) (21-005d),0.0,0.0,20.01890182,0,0,0.0,0.0,21005104104
Mackay-Capricorn,Downward Patches (No 5) (21-005e),0.0,0.0,14.51268387,0,0,0.0,0.0,21005105104
Mackay-Capricorn,Downward Patches (No 6) (21-005f),0.0,0.0,110.05354309,0,0,0.0,0.0,21005106104
Mackay-Capricorn,Downward Patches (No 7) (21-005g),0.0,0.0,12.89748764,0,0,0.0,0.0,21005107104
Mackay-Capricorn,Dangerous Reef (21-006),0.0,0.0,14.21971321,0,0,0.0,0.0,21006100104
Mackay-Capricorn,U/N Rock (21-006a),0.0,0.0,0.0,0,0,0.0,0.0,21006101108
Mackay-Capricorn,U/N Rock (21-006b),0.0,0.0,0.0,0,0,0.0,0.0,21006102108
Mackay-Capricorn,U/N Rock (21-006c),0.0,0.0,0.0,0,0,0.0,0.0,21006103108
Mackay-Capricorn,Flat Top Island (21-007),0.0,0.0,0.0,0,0,0.0,0.0,21007100102
Mackay-Capricorn,Flat Top Reef (21-007),0.0,0.0,133.01280212,0,0,0.0,0.0,21007100104
Mackay-Capricorn,Taroba Rock (21-008),0.0,0.0,0.0,0,0,0.0,0.0,21008100106
Mackay-Capricorn,Chauvel Reefs (South) (20-308),34.19,0.62,1208.56835938,3419,62,0.093,0.0013,20308100104
Mackay-Capricorn,Tern Islet (20-309),0.0,0.0,0.0,0,0,0.0,0.0,20309100102
Mackay-Capricorn,U/N Cay (20-309),0.0,0.0,0.0,0,0,0.0,0.0,20309100103
Mackay-Capricorn,Tern Reef (20-309),0.51,0.0,307.82937622,51,0,0.0056,0.0,20309100104
Mackay-Capricorn,Bushy-Redbill Reef (20-310),0.02,1.29,958.42034912,2,129,0.0,0.0035,20310100104
Mackay-Capricorn,Bushy Islet (20-310a),0.0,0.0,0.0,0,0,0.0,0.0,20310101102
Mackay-Capricorn,Redbill Islet (20-310b),0.0,0.0,0.0,0,0,0.0,0.0,20310102102
Mackay-Capricorn,U/N Reef (20-397),1.02,0.02,372.55636597,102,2,0.0089,0.0003,20397100104
Mackay-Capricorn,U/N Reef (20-398),0.0,0.0,366.70339966,0,0,0.0,0.0,20398100104
Mackay-Capricorn,U/N Cay (20-399),0.0,0.0,0.0,0,0,0.0,0.0,20399100103
Mackay-Capricorn,U/N Reef (20-399),0.0,0.0,92.61878967,0,0,0.0,0.0,20399100104
Mackay-Capricorn,U/N Cay (20-400),0.0,0.0,0.0,0,0,0.0,0.0,20400100103
Mackay-Capricorn,U/N Reef (20-400),0.0,0.29,102.03179169,0,29,0.0,0.0074,20400100104
Townsville-Whitsunday,Deliverance Bank (20-401),0.0,0.0,303.61825562,0,0,0.0,0.0,20401100104
Townsville-Whitsunday,Sheriff Shoal (20-402),0.0,0.0,57.64587021,0,0,0.0,0.0,20402100104
Townsville-Whitsunday,Pigeon Island (20-403),0.0,0.0,0.0,0,0,0.0,0.0,20403100102
Mackay-Capricorn,U/N Reef (20-523),0.0,0.0,150.90229797,0,0,0.0,0.0,20523100104
Mackay-Capricorn,U/N Reef (20-524),0.0,0.0,65.72190094,0,0,0.0,0.0,20524100104
Mackay-Capricorn,U/N Reef (20-527),0.0,0.0,64.14691925,0,0,0.0,0.0,20527100104
Mackay-Capricorn,U/N Reef (20-531),0.0,0.0,17.49457741,0,0,0.0,0.0,20531100104
Mackay-Capricorn,U/N Reef (20-540),0.53,0.0,17.61472893,53,0,0.0989,0.0,20540100104
Mackay-Capricorn,U/N Reef (20-543),0.0,0.0,42.34417343,0,0,0.0,0.0,20543100104
Mackay-Capricorn,U/N Reef (20-545),0.0,0.0,18.84619904,0,0,0.0,0.0,20545100104
Mackay-Capricorn,U/N Reef (20-546),0.0,0.0,60.3787117,0,0,0.0,0.0,20546100104
Mackay-Capricorn,U/N Reef (20-548),0.0,0.0,32.8237915,0,0,0.0,0.0,20548100104
Mackay-Capricorn,U/N Reef (20-370d),0.0,0.0,7.5519495,0,0,0.0,0.0,20370104104
Mackay-Capricorn,Round Top Island (21-009),0.0,0.0,0.0,0,0,0.0,0.0,21009100102
Mackay-Capricorn,Round Top Reef (21-009),0.0,0.0,21.31401062,0,0,0.0,0.0,21009100104
Mackay-Capricorn,Oyster Rock (21-010),0.0,0.0,0.0,0,0,0.0,0.0,21010100106
Mackay-Capricorn,Reichelmann Rock (21-011),0.0,0.0,0.0,0,0,0.0,0.0,21011100106
Mackay-Capricorn,Dudgeon Ledge (21-012),0.0,0.0,32.80933762,0,0,0.0,0.0,21012100104
Mackay-Capricorn,Hay Reef (21-013),0.0,0.0,49.28487396,0,0,0.0,0.0,21013100104
Mackay-Capricorn,Highwater Island (21-014),0.0,0.0,0.0,0,0,0.0,0.0,21014100102
Mackay-Capricorn,Highwater Reef (21-014),0.0,0.0,9.37215233,0,0,0.0,0.0,21014100104
Mackay-Capricorn,Victor Island (21-015),0.0,0.0,0.0,0,0,0.0,0.0,21015100102
Mackay-Capricorn,Victor Reef (21-015),0.0,0.0,128.62556458,0,0,0.0,0.0,21015100104
Mackay-Capricorn,Coral Point Reef (21-016),0.0,0.0,41.48019409,0,0,0.0,0.0,21016100104
Mackay-Capricorn,U/N Reef (21-018),0.0,0.0,30.76183319,0,0,0.0,0.0,21018100104
Mackay-Capricorn,U/N Reef (20-311),0.71,0.0,49.57272339,71,0,0.047,0.0,20311100104
Mackay-Capricorn,U/N Reef (20-312),0.18,5.07,94.0667038,18,507,0.0062,0.1432,20312100104
Mackay-Capricorn,U/N Reef (20-313),8.74,0.33,160.94210815,874,33,0.1784,0.0056,20313100104
Mackay-Capricorn,U/N Reef (20-314),0.0,0.0,28.42405319,0,0,0.0,0.0,20314100104
Townsville-Whitsunday,U/N Reef (20-315a),0.0,0.0,4738.63818359,0,0,0.0,0.0,20315101104
Townsville-Whitsunday,U/N Reef (20-315b),0.0,0.0,8.30899048,0,0,0.0,0.0,20315102104
Townsville-Whitsunday,U/N Reef (20-315c),0.0,0.0,17.50132561,0,0,0.0,0.0,20315103104
Mackay-Capricorn,U/N Reef (20-316),0.0,0.0,9.18326855,0,0,0.0,0.0,20316100104
Mackay-Capricorn,U/N Reef (20-317),0.0,1.07,53.02531815,0,107,0.0,0.0537,20317100104
Mackay-Capricorn,U/N Reef (20-318),0.0,0.84,93.58846283,0,84,0.0,0.0239,20318100104
Townsville-Whitsunday,Pigeon Reef (20-403),0.0,0.0,5.68046522,0,0,0.0,0.0,20403100104
Townsville-Whitsunday,U/N Reef (20-404),0.0,0.0,0.60753679,0,0,0.0,0.0,20404100104
Townsville-Whitsunday,Maher Island (20-405),0.0,0.0,0.0,0,0,0.0,0.0,20405100102
Townsville-Whitsunday,Coppersmith Reef (20-407),0.0,0.0,2.29218602,0,0,0.0,0.0,20407100104
Townsville-Whitsunday,Coppersmith Rock (No 1) (20-407a),0.0,0.0,0.0,0,0,0.0,0.0,20407101108
Mackay-Capricorn,U/N Reef (20-370c),0.0,0.0,235.96264648,0,0,0.0,0.0,20370103104
Mackay-Capricorn,U/N Reef (20-553),0.0,0.0,0.0361773,0,0,0.0,0.0,20553100104
Mackay-Capricorn,U/N Reef (20-555),0.0,0.95,28.82162094,0,95,0.0,0.0877,20555100104
Mackay-Capricorn,U/N Reef (20-556),0.0,4.83,40.87487793,0,483,0.0,0.3141,20556100104
Mackay-Capricorn,U/N Reef (20-557),0.0,0.0,7.99510527,0,0,0.0,0.0,20557100104
Mackay-Capricorn,U/N Reef (20-558),0.0,0.0,13.50153828,0,0,0.0,0.0,20558100104
Mackay-Capricorn,U/N Reef (20-559),0.0,0.0,82.57579041,0,0,0.0,0.0,20559100104
Mackay-Capricorn,U/N Reef (20-560),0.0,0.0,49.5346756,0,0,0.0,0.0,20560100104
Mackay-Capricorn,U/N Reef (20-561),0.0,0.0,5.8472743,0,0,0.0,0.0,20561100104
Mackay-Capricorn,U/N Reef (20-562),1.76,0.0,77.7596283,176,0,0.0742,0.0,20562100104
Mackay-Capricorn,U/N Reef (20-563),2.86,0.0,93.87445068,286,0,0.1002,0.0,20563100104
Mackay-Capricorn,Freshwater Point Reef (21-019),0.0,0.0,38.96500015,0,0,0.0,0.0,21019100104
Mackay-Capricorn,Cullen Island (21-020),0.0,0.0,0.0,0,0,0.0,0.0,21020100102
Mackay-Capricorn,Cullen Reef (21-020),0.0,0.0,16.86080933,0,0,0.0,0.0,21020100104
